Date,Peak demand (MW),Daily av max temp,Daily av humidity
28/12/18,11410,36,58.125
31/12/18,10734,33.925,60.75
2/1/19,11013,33.425,50.625
3/1/19,10538,22.625,51.25
4/1/19,11932,26.075,52.625
7/1/19,8866,25.2,57
8/1/19,10680,30.8,68.375
9/1/19,10168,31.65,53.875
10/1/19,9163,26.025,47
11/1/19,9881,29.475,38.875
14/1/19,11688,32.025,68.875
15/1/19,13056,35.75,72.75
16/1/19,13375,35.975,68.125
17/1/19,13632,36.7,57.75
18/1/19,13400,37.8,59.75
21/1/19,10419,27.325,84.125
22/1/19,12758,33.35,60.875
23/1/19,11455,33.05,63.125
24/1/19,10955,29.575,72.5
25/1/19,13283,34.875,93.625
29/1/19,12962,33.575,68.25
30/1/19,12518,31.65,73.125
31/1/19,13821,29.35,67
1/2/19,8845,24.95,79.875
4/2/19,12306,33.5,75.5
5/2/19,10695,29.3,74.75
6/2/19,11271,30.275,62.875
7/2/19,11504,30.825,80
8/2/19,11599,31.75,73.375
11/2/19,10446,30.225,75.125
12/2/19,12214,34.425,67.25
13/2/19,9195,26.05,68.625
14/2/19,8970,25.825,73.625
15/2/19,9108,27.725,63.75
18/2/19,12050,34.45,63.25
19/2/19,10061,32.75,65.625
20/2/19,9185,25.35,81.125
21/2/19,9068,25.825,73.5
22/2/19,8569,24.55,66.25
25/2/19,8880,26.125,61
26/2/19,9476,28.975,84.125
27/2/19,9433,28.225,74.375
28/2/19,9958,29.075,73.5
1/3/19,9878,29.25,91.625
4/3/19,11218,31.925,86.25
5/3/19,11016,32.4,77.625
6/3/19,10516,34.025,61.5
7/3/19,8615,17.35,61.125
8/3/19,9873,29.95,64.625
11/3/19,10321,29.925,69.375
12/3/19,11126,33.15,66.75
13/3/19,8904,24.225,70.625
14/3/19,9563,28.725,65.875
15/3/19,8508,24.55,72.625
18/3/19,8809,21.9,77.5
19/3/19,8878,26.025,63.125
20/3/19,9210,27.575,67.375
21/3/19,9278,27.65,66.5
22/3/19,8846,26.575,75.375
25/3/19,9029,24.525,52.25
26/3/19,8725,24.275,66.5
27/3/19,8681,23.65,69.875
28/3/19,9003,25.975,74.25
29/3/19,8896,27.025,80.375
